name,address,phone,category,sub_category,lat,lon,address_jibun,address_road,region_depth_2,phone_kakao,category_kakao,place_url,search_method,region,enrich_done
덤장 중문점,제주특별자치도 서귀포시 천제연로 17(색달동),064-738-2550,음식점,향토음식점,33.2577084260569,126.408186632425,제주특별자치도 서귀포시 색달동 2119,제주특별자치도 서귀포시 천제연로 17,서귀포시,064-738-2550,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/8258838,address,남부,Y
돌하르방뚝배기,제주특별자치도 서귀포시 성산읍 일출로 264,064-784-6888,음식점,향토음식점,33.4612062777251,126.933850508109,제주특별자치도 서귀포시 성산읍 성산리 141,제주특별자치도 서귀포시 성산읍 일출로 264,서귀포시,064-784-6888,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/9782314,address,동부,Y
명원가든,제주특별자치도 서귀포시 성산읍 성산등용로 8,064-784-1900,음식점,향토음식점,33.4647057854192,126.933682295464,제주특별자치도 서귀포시 성산읍 성산리 237-1,제주특별자치도 서귀포시 성산읍 성산등용로 8,서귀포시,064-784-1900,음식점 > 한식,http://place.map.kakao.com/10338091,address,동부,Y
성읍탐라식당,제주특별자치도 서귀포시 표선면 성읍정의현로 116,064-787-0007,음식점,향토음식점,33.3925002056492,126.799740130967,제주특별자치도 서귀포시 표선면 성읍리 1627,제주특별자치도 서귀포시 표선면 성읍정의현로 116,서귀포시,064-787-0007,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/8120113,address,동부,Y
옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62,064-794-8833,음식점,향토음식점,33.2199710821565,126.249007485159,제주특별자치도 서귀포시 대정읍 하모리 1067-23,제주특별자치도 서귀포시 대정읍 신영로36번길 62,서귀포시,064-794-8833,음식점 > 한식 > 국수,http://place.map.kakao.com/9940398,keyword,남부,Y
모메존,제주특별자치도 제주시 도두3길 17(도두일동),064-711-0585,음식점,향토음식점,33.5050983179385,126.489119717688,제주특별자치도 제주시 도두이동 3,제주특별자치도 제주시 공항로 2,제주시,064-711-0585,음식점 > 한식,http://place.map.kakao.com/10332676,address,북부,Y
바다잔치,제주특별자치도 제주시 탑동로 79(삼도이동),064-702-8989,음식점,향토음식점,33.5177427362201,126.516824543959,제주특별자치도 제주시 삼도이동 1221-22,제주특별자치도 제주시 탑동로 79,제주시,064-702-8989,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/10411462,address,북부,Y
동복해녀식당,제주특별자치도 제주시 구좌읍 동복로 5,064-783-4158/4141,음식점,향토음식점,33.5535195314173,126.706864917581,제주특별자치도 제주시 구좌읍 동복리 1647,제주특별자치도 제주시 구좌읍 동복로 5,제주시,064-783-4141,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/7843770,address,북부,Y
도라지식당,제주특별자치도 제주시 연삼로 128(오라삼동),064-722-3142,음식점,향토음식점,33.492727343025,126.505910891864,제주특별자치도 제주시 오라삼동 2112,제주특별자치도 제주시 연삼로 128,제주시,064-722-3142,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/15942374,address,북부,Y
뱃머리식당,제주특별자치도 제주시 임항로 43(건입동),064-755-7158,음식점,향토음식점,33.5168734767015,126.529438280222,제주특별자치도 제주시 건입동 1319-4,제주특별자치도 제주시 임항로 43,제주시,010-3298-6031,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/8386097,address,북부,Y
날래모슬포자리돔,제주특별자치도 제주시 다랑곶 7길 21(노형동),064-711-7465,음식점,향토음식점,33.4904984560815,126.480091060166,제주특별자치도 제주시 노형동 1271-1,제주특별자치도 제주시 다랑곶7길 21,제주시,064-711-7465,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/14618474,keyword,북부,Y
명물,제주특별자치도 제주시 탑동로 11길 2-1(삼도이동),064-723-5233,음식점,향토음식점,33.516944084811,126.52338121795,제주특별자치도 제주시 삼도이동 1192-17,제주특별자치도 제주시 탑동로 11,제주시,064-723-5233,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/23149701,address,북부,Y
복희네각재기국,제주특별자치도 제주시 복지로5길 16·1층(도남동),064-751-9009,음식점,향토음식점,33.4884717190871,126.524223633395,제주특별자치도 제주시 도남동 713-3,제주특별자치도 제주시 복지로5길 16,제주시,,,,address,북부,Y
고사리식당,제주특별자치도 제주시 조천읍 번영로 1680,064-783-6564,음식점,향토음식점,33.4528399702786,126.707458482196,제주특별자치도 제주시 조천읍 선흘리 1856-8,제주특별자치도 제주시 조천읍 번영로 1680,제주시,064-757-6564,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/1951669987,address,북부,Y
㈜MG신라중문신라원,제주특별자치도 서귀포시 법환하로28번길6(법환동),064-739-3395,음식점,향토음식점,33.2343665667281,126.511981496403,제주특별자치도 서귀포시 법환동 1436,제주특별자치도 서귀포시 법환하로28번길 6,서귀포시,,,,address,남부,Y
영주말가든,제주특별자치도 제주시 연북로 196,064-748-4343,음식점,향토음식점,33.4812063364394,126.502013922859,제주특별자치도 제주시 오라이동 3176,제주특별자치도 제주시 연북로 196,제주시,064-748-4343,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/400920133,address,북부,Y
제주향토음식점(제주향토골),제주특별자치도 제주시 공항로 2·4층(제주국제공항),064-712-1666,음식점,향토음식점,33.5059364682672,126.495951277797,제주특별자치도 제주시 용담이동 2002,제주특별자치도 제주시 공항로 2,제주시,,,,address,북부,Y
황금어장,제주특별자치도 제주시 사장길 14(연동),064-748-8989,음식점,향토음식점,33.4843937699678,126.495357035456,제주특별자치도 제주시 연동 294-113,제주특별자치도 제주시 사장길 14,제주시,064-748-8989,"음식점 > 한식 > 해물,생선 > 회",http://place.map.kakao.com/8690519,address,북부,Y
정우말가든,제주특별자치도 제주시 아연로 17(연동),0507-1407-6525,음식점,향토음식점,33.480254338786,126.497522733864,제주특별자치도 제주시 연동 505-5,제주특별자치도 제주시 아연로 17,제주시,064-747-6525,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/8515374,address,북부,Y
만부정,제주특별자치도 제주시 사장길 38(연동),064-743-1119,음식점,향토음식점,33.4826802924704,126.494516338082,제주특별자치도 제주시 연동 298-9,제주특별자치도 제주시 사장길 38,제주시,064-743-1119,"음식점 > 한식 > 해물,생선 > 복어",http://place.map.kakao.com/9026136,address,북부,Y
삼대전통고기국수,제주특별자치도 제주시 신대로5길17(연동),064-748-7558,음식점,향토음식점,33.4929584661242,126.49858245782984,제주특별자치도 제주시 연동 310-45,제주특별자치도 제주시 신대로5길 17,제주시,064-748-7558,음식점 > 한식 > 국수,http://place.map.kakao.com/9810778,keyword,북부,Y
햇살가득돌담집,제주특별자치도 제주시 조천읍 함대로 25-1,064-784-2200,음식점,향토음식점,33.5415475764789,126.658203425045,제주특별자치도 제주시 조천읍 함덕리 2936-1,제주특별자치도 제주시 조천읍 함대로 25-1,제주시,064-784-2200,음식점 > 한식,http://place.map.kakao.com/27192800,address,북부,Y
동진식당,제주특별자치도 제주시 용화로 51-1(용담이동),064-742-2226,음식점,향토음식점,33.5096886596082,126.509347693248,제주특별자치도 제주시 용담이동 622-2,제주특별자치도 제주시 용화로 51-1,제주시,064-742-2226,음식점 > 한식 > 국수,http://place.map.kakao.com/1817956617,address,북부,Y
산지물식당,제주특별자치도 제주시 임항로 26(건입동),064-752-5599,음식점,향토음식점,33.5162850086573,126.527472387247,제주특별자치도 제주시 건입동 1388-1,제주특별자치도 제주시 임항로 26,제주시,064-752-5599,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/14491336,address,북부,Y
복집식당,제주특별자치도 제주시 흥운길 85(용담이동),064-722-5503,음식점,향토음식점,33.5158080645433,126.513818410091,제주특별자치도 제주시 용담이동 435,제주특별자치도 제주시 흥운길 85,제주시,064-722-5503,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/10372437,address,북부,Y
골막식당,제주특별자치도 제주시 천수로 12(이도이동),064-753-6949,음식점,향토음식점,33.5024686068256,126.538410238903,제주특별자치도 제주시 이도이동 362-1,제주특별자치도 제주시 천수로 12,제주시,064-753-6949,음식점 > 한식,http://place.map.kakao.com/8754112,address,북부,Y
신성할망,제주특별자치도 제주시 신대로 7길 23(연동),0507-1329-3976,음식점,향토음식점,33.4918429114591,126.499180714098,제주특별자치도 제주시 연동 310-34,제주특별자치도 제주시 신대로7길 23,제주시,064-753-3976,음식점 > 한식,http://place.map.kakao.com/9192073,keyword,북부,Y
고모네돔베,제주특별자치도 제주시 조천읍 선교로 519,0507-1336-2308,음식점,향토음식점,33.4595804103217,126.712133038176,제주특별자치도 제주시 조천읍 선흘리 475-4,제주특별자치도 제주시 조천읍 선교로 519,제주시,010-4393-2308,음식점 > 한식,http://place.map.kakao.com/852328667,address,북부,Y
함덕촐래밥상,제주특별자치도 제주시 조천읍 함대로 57,064-782-1505,음식점,향토음식점,33.539197930289,126.658037718926,제주특별자치도 제주시 조천읍 함덕리 2734-2,제주특별자치도 제주시 조천읍 함대로 57,제주시,064-782-1505,음식점 > 한식,http://place.map.kakao.com/1960435494,address,북부,Y
수다뜰,제주특별자치도 제주시 명림로 164,064-723-2722,음식점,향토음식점,33.4721695947886,126.610092681398,제주특별자치도 제주시 봉개동 389,제주특별자치도 제주시 명림로 164,제주시,064-723-2722,음식점 > 한식 > 두부전문점,http://place.map.kakao.com/12001289,address,북부,Y
해왓,제주특별자치도 서귀포시 성산읍 신고로 30-1,064-782-5689,음식점,향토음식점,33.4385220800937,126.917166253896,제주특별자치도 서귀포시 성산읍 고성리 524-2,제주특별자치도 서귀포시 성산읍 신고로 30-1,서귀포시,0503-7151-9544,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/382375401,address,동부,Y
삼보식당,제주특별자치도 서귀포시 중정로 25(서귀동),064-762-3620,음식점,향토음식점,33.2477533786169,126.559075018527,제주특별자치도 서귀포시 서귀동 319-8,제주특별자치도 서귀포시 중정로 25,서귀포시,064-762-3620,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/11486940,address,남부,Y
공천포식당,제주특별자치도 서귀포시 남원읍 공천포로 89,064-767-2425,음식점,향토음식점,33.266389016263,126.64258544722,제주특별자치도 서귀포시 남원읍 신례리 27-5,제주특별자치도 서귀포시 남원읍 공천포로 89,서귀포시,064-767-2425,음식점 > 한식,http://place.map.kakao.com/8204729,address,남부,Y
혼차롱식개집,제주특별자치도 서귀포시 동문로 50(서귀동),064-767-3334,음식점,향토음식점,33.2496750451288,126.565588908154,제주특별자치도 서귀포시 서귀동 257-8,제주특별자치도 서귀포시 동문로 50,서귀포시,064-767-3334,음식점 > 한식,http://place.map.kakao.com/836537998,address,남부,Y
테왁,제주특별자치도 서귀포시 서호남로32번길 10-4(서호동),064-739-1562,음식점,향토음식점,33.24961686271515,126.51520030436356,제주특별자치도 서귀포시 서호동 1551-9,제주특별자치도 서귀포시 서호남로32번길 10-4,서귀포시,064-739-1562,음식점 > 한식,http://place.map.kakao.com/1429323857,keyword,남부,Y
대정고을식당,제주특별자치도 서귀포시 대정읍 일주서로 2258,064-794-8070,음식점,향토음식점,33.2478182780426,126.277065798304,제주특별자치도 서귀포시 대정읍 인성리 251-1,제주특별자치도 서귀포시 대정읍 일주서로 2258,서귀포시,064-794-8070,음식점 > 한식 > 국수,http://place.map.kakao.com/16899975,address,남부,Y
진주식당,제주특별자치도 서귀포시 태평로 353(서귀동),064-762-5158,음식점,향토음식점,33.2466487963579,126.559051056464,제주특별자치도 서귀포시 서귀동 314-7,제주특별자치도 서귀포시 태평로 353,서귀포시,064-762-5158,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/8094035,address,남부,Y
남경어곰탕,제주특별자치도 제주시 연삼로 96,0507-1453-0189,음식점,향토음식점,33.4929400183193,126.50266288237,제주특별자치도 제주시 오라삼동 2749-2,제주특별자치도 제주시 연삼로 96,제주시,064-749-0055,음식점 > 한식,http://place.map.kakao.com/1500185815,address,북부,Y
검은회몰고오는,제주특별자치도 제주시 신대로20길 27,0507-1352-1692,음식점,향토음식점,33.4835805408499,126.493370068727,제주특별자치도 제주시 연동 296-7,제주특별자치도 제주시 신대로20길 27,제주시,,,,address,북부,Y
속초식당,제주특별자치도 제주시 임항로 39-1,064-702-0086,음식점,향토음식점,33.5167658263054,126.529153412822,제주특별자치도 제주시 건입동 1319-15,제주특별자치도 제주시 임항로 39-1,제주시,010-4724-1219,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/1020194683,address,북부,Y
신제주보말칼국수제주본점,제주특별자치도 제주시 선덕로5길 19,0507-1422-1547,음식점,향토음식점,33.4858493571288,126.497367443339,제주특별자치도 제주시 연동 313-42,제주특별자치도 제주시 선덕로 5,제주시,064-711-1470,음식점 > 한식 > 국수 > 칼국수,http://place.map.kakao.com/1527491418,address,북부,Y
제주흑우,제주특별자치도 제주시 아란서길 110,0507-1443-3602,음식점,향토음식점,33.4687609700415,126.53996889586,제주특별자치도 제주시 아라일동 2082-1,제주특별자치도 제주시 아란서길 110,제주시,064-756-3600,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/254457060,address,북부,Y
(주)삼다도횟집,제주특별자치도 제주시 서해안로 572 (용담삼동),064-711-7080,음식점,모범음식점,33.5190217987092,126.49927095808,제주특별자치도 제주시 용담삼동 1100,제주특별자치도 제주시 서해안로 572,제주시,064-711-7085,"음식점 > 한식 > 해물,생선 > 회",http://place.map.kakao.com/8341034,address,북부,Y
(주)우진해장국,제주특별자치도 제주시 서사로 11 1층 (삼도이동),064-757-3393,음식점,모범음식점,33.5115386823178,126.520016120454,제주특별자치도 제주시 삼도이동 831,제주특별자치도 제주시 서사로 11,제주시,064-757-3393,음식점 > 한식 > 해장국,http://place.map.kakao.com/11547525,address,북부,Y
(주)제주피슈마라홍탕,제주특별자치도 제주시 중앙로 230 중앙빌딩 4층 (이도이동),064-755-8288,음식점,모범음식점,33.499112571098,126.52991115572,제주특별자치도 제주시 이도이동 1768-27,제주특별자치도 제주시 중앙로 230,제주시,,,,address,북부,Y
가리본가광양점,제주특별자치도 제주시 서사로19길 42 (삼도일동),064-711-7448,음식점,모범음식점,33.500972980649465,126.5242586708044,제주특별자치도 제주시 삼도일동 319-8,제주특별자치도 제주시 서사로19길 42,제주시,064-711-7448,음식점 > 한식,http://place.map.kakao.com/786521977,keyword,북부,Y
갈치옥,제주특별자치도 제주시 조천읍 조함해안로 530 2층 2호,0507-1481-6014,음식점,모범음식점,33.5424902916666,126.669499514471,제주특별자치도 제주시 조천읍 함덕리 1004-30,제주특별자치도 제주시 조천읍 조함해안로 530,제주시,0507-1481-6014,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/1241483286,address,북부,Y
강윤구스시야,제주특별자치도 제주시 화삼북로 135 2층 (삼양이동),064-722-0271,음식점,모범음식점,33.5172903278702,126.587664656139,제주특별자치도 제주시 삼양이동 2332-5,제주특별자치도 제주시 화삼북로 135,제주시,064-758-0112,"음식점 > 일식 > 초밥,롤",http://place.map.kakao.com/1290947825,address,북부,Y
검은쇠몰고오는,제주특별자치도 제주시 신대로20길 27 (연동),064-712-1692,음식점,모범음식점,33.483576920121884,126.49336653918375,제주특별자치도 제주시 연동 296-7,제주특별자치도 제주시 신대로20길 27,제주시,064-712-1692,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/18767827,keyword,북부,Y
경미해장국,제주특별자치도 제주시 도령로 39 2층 (노형동),064-742-5382,음식점,모범음식점,33.4885903642929,126.482836164786,제주특별자치도 제주시 노형동 1294-1,제주특별자치도 제주시 도령로 39,제주시,,,,address,북부,Y
계절식탁향토,제주특별자치도 제주시 조천읍 조함해안로 510 2층,,음식점,모범음식점,33.5425622178561,126.667370418606,제주특별자치도 제주시 조천읍 함덕리 1004-41,제주특별자치도 제주시 조천읍 조함해안로 510,제주시,,,,address,북부,Y
고래냉삼,제주특별자치도 제주시 우정로 44 1층 (외도일동),,음식점,모범음식점,33.4889731073095,126.430662702527,제주특별자치도 제주시 외도일동 495-6,제주특별자치도 제주시 우정로 44,제주시,,"음식점 > 한식 > 육류,고기 > 삼겹살",http://place.map.kakao.com/1358809594,address,북부,Y
광평도새기촌본점,제주특별자치도 제주시 애월읍 구엄동3길 64 1층,,음식점,모범음식점,33.4814324307163,126.380858443306,제주특별자치도 제주시 애월읍 구엄리 667-11,제주특별자치도 제주시 애월읍 구엄동3길 64,제주시,,,,address,서부,Y
교래손칼국수,제주특별자치도 제주시 조천읍 비자림로 645,064-782-9870,음식점,모범음식점,33.4361385474198,126.675994152929,제주특별자치도 제주시 조천읍 교래리 491,제주특별자치도 제주시 조천읍 비자림로 645,제주시,064-782-9870,음식점 > 한식 > 국수 > 칼국수,http://place.map.kakao.com/8193875,address,북부,Y
굴비곳간,제주특별자치도 제주시 남광북3길 16 1층 (이도이동),064-725-2070,음식점,모범음식점,33.4947944434809,126.53616923149,제주특별자치도 제주시 이도이동 1077-1,제주특별자치도 제주시 남광북3길 16,제주시,064-725-2070,음식점 > 한식,http://place.map.kakao.com/1206162913,keyword,북부,Y
궁한스샤브샤브신제주점,제주특별자치도 제주시 사장길 38 2층 (연동),064-742-8989,음식점,모범음식점,33.4826802924704,126.494516338082,제주특별자치도 제주시 연동 298-9,제주특별자치도 제주시 사장길 38,제주시,064-744-3197,음식점 > 샤브샤브,http://place.map.kakao.com/2129784337,address,북부,Y
금갈치타운,제주특별자치도 제주시 고마로19길 2 1층 (일도이동),064-711-3197,음식점,모범음식점,33.504530150273,126.541971228327,제주특별자치도 제주시 일도이동 416-1,제주특별자치도 제주시 고마로19길 2,제주시,,,,address,북부,Y
금돈흑돼지,제주특별자치도 제주시 원노형남1길 16 1층 (노형동),0503-7150-6570,음식점,모범음식점,33.483861328552486,126.48212229718074,제주특별자치도 제주시 노형동 923-3,제주특별자치도 제주시 원노형남1길 16,제주시,0503-7150-6570,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/2094206401,keyword,북부,Y
금보,제주특별자치도 제주시 서부두길 14 (건입동),064-726-1777,음식점,모범음식점,33.5175202406786,126.528267134785,제주특별자치도 제주시 건입동 1319-50,제주특별자치도 제주시 서부두길 14,제주시,064-782-7158,음식점 > 한식,http://place.map.kakao.com/718921155,address,북부,Y
금악냉면,제주특별자치도 제주시 한림읍 금악로1길 15 다동 1층,064-796-6367,음식점,모범음식점,33.3577391119149,126.295642146879,제주특별자치도 제주시 한림읍 금악리 2110-1,제주특별자치도 제주시 한림읍 금악로 1,제주시,064-796-6367,음식점 > 한식 > 냉면,http://place.map.kakao.com/1736432882,address,서부,Y
길림성,제주특별자치도 제주시 남성로 37 1층 (용담일동),064-724-6660,음식점,모범음식점,33.503671463026,126.512756273281,제주특별자치도 제주시 용담일동 181-6,제주특별자치도 제주시 남성로 37,제주시,064-724-6660,음식점 > 중식 > 중국요리,http://place.map.kakao.com/10208256,address,북부,Y
김명자굴국밥,제주특별자치도 제주시 연북로 168 (연동),064-747-0320,음식점,모범음식점,33.4818961799964,126.499403977371,제주특별자치도 제주시 연동 456,제주특별자치도 제주시 연북로 168,제주시,064-747-0320,"음식점 > 한식 > 해물,생선 > 굴,전복",http://place.map.kakao.com/9672357,address,북부,Y
김용복참치,제주특별자치도 제주시 과원북4길 9 (노형동),064-713-2787,음식점,모범음식점,33.4813690172164,126.482911788935,제주특별자치도 제주시 노형동 720-4,제주특별자치도 제주시 과원북4길 9,제주시,,음식점 > 일식 > 참치회,http://place.map.kakao.com/1364166994,keyword,북부,Y
꽃가마,제주특별자치도 제주시 신산로 97 (일도이동),064-755-6454,음식점,모범음식점,33.5053399114097,126.535877186212,제주특별자치도 제주시 일도이동 339-18,제주특별자치도 제주시 신산로 97,제주시,064-755-6454,음식점 > 한식,http://place.map.kakao.com/11025212,address,북부,Y
꽃마름제주이도점,제주특별자치도 제주시 승천로 73 3층 (아라이동),064-725-4933,음식점,모범음식점,33.492433096931,126.542992622381,제주특별자치도 제주시 아라이동 3001-10,제주특별자치도 제주시 승천로 73,제주시,,,,address,북부,Y
낙원93,제주특별자치도 제주시 신설로9길 46-2 1층 (이도이동 풍경아트빌),02-743-5555,음식점,모범음식점,37.5729811675505,126.988440027582,서울 종로구 낙원동 93,서울 종로구 수표로 134,종로구,,음식점 > 카페 > 테마카페 > 라이브카페,http://place.map.kakao.com/680545832,keyword,,Y
낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,064-784-9292,음식점,모범음식점,33.473557695312,126.657125815614,제주특별자치도 제주시 조천읍 와흘리 125,제주특별자치도 제주시 조천읍 남조로 2343,제주시,064-784-9292,음식점 > 한식,http://place.map.kakao.com/8874256,address,북부,Y
노도고등어회,제주특별자치도 제주시 서해안로 364 1층 (도두이동),010-2412-6087,음식점,모범음식점,33.5107660510965,126.48391692528,제주특별자치도 제주시 도두이동 681-1,제주특별자치도 제주시 서해안로 364,제주시,010-2412-6087,"음식점 > 한식 > 해물,생선 > 회",http://place.map.kakao.com/1946761063,address,북부,Y
노형농원,제주특별자치도 제주시 노형8길 14 1~3층 (노형동),,음식점,모범음식점,33.4475415249125,126.481205317086,제주특별자치도 제주시 해안동 8,,제주시,,여행 > 숙박 > 민박,http://place.map.kakao.com/10888842,address,북부,Y
노형늘봄,제주특별자치도 제주시 한라대학로 12 (노형동),064-744-9001,음식점,모범음식점,33.4794710006086,126.47283548724,제주특별자치도 제주시 노형동 2343-3,제주특별자치도 제주시 한라대학로 12,제주시,064-744-9001,"음식점 > 한식 > 육류,고기 > 삼겹살",http://place.map.kakao.com/8856076,address,북부,Y
